team,division
Cincinnati,FBS
Connecticut,FBS
East Carolina,FBS
Houston,FBS
Memphis,FBS
SMU,FBS
South Florida,FBS
Temple,FBS
Tulane,FBS
Tulsa,FBS
UCF,FBS
Boston Coll.,FBS
Clemson,FBS
Florida St.,FBS
Louisville,FBS
N.C. State,FBS
Syracuse,FBS
Wake Forest,FBS
Duke,FBS
Georgia Tech,FBS
Miami (FL),FBS
N. Carolina,FBS
Pittsburgh,FBS
Virginia,FBS
Virginia Tech,FBS
Indiana,FBS
Maryland,FBS
Michigan,FBS
Michigan St.,FBS
Ohio St.,FBS
Penn St.,FBS
Rutgers,FBS
Illinois,FBS
Iowa,FBS
Minnesota,FBS
Nebraska,FBS
Northwestern,FBS
Purdue,FBS
Wisconsin,FBS
Baylor,FBS
Iowa St.,FBS
Kansas,FBS
Kansas St.,FBS
Oklahoma,FBS
Oklahoma St.,FBS
TCU,FBS
Texas,FBS
Texas Tech,FBS
West Virginia,FBS
Florida Atlantic,FBS
Florida Intl.,FBS
Marshall,FBS
Middle Tenn. St.,FBS
Old Dominion,FBS
UAB,FBS
W. Kentucky,FBS
Louisiana Tech,FBS
North Texas,FBS
Rice,FBS
Southern Miss,FBS
UTSA,FBS
UTEP,FBS
Army,FBS
BYU,FBS
Navy,FBS
Notre Dame,FBS
Akron,FBS
Bowling Green,FBS
Buffalo,FBS
Kent St.,FBS
UMass,FBS
Miami (OH),FBS
Ohio,FBS
Ball St.,FBS
Cent. Michigan,FBS
East. Michigan,FBS
Northern Illinois,FBS
Toledo,FBS
W. Michigan,FBS
Air Force,FBS
Boise St.,FBS
Colorado St.,FBS
New Mexico,FBS
Utah St.,FBS
Wyoming,FBS
Fresno St.,FBS
Hawaii,FBS
Nevada,FBS
S. Diego St.,FBS
San Jose St.,FBS
UNLV,FBS
California,FBS
Oregon,FBS
Oregon St.,FBS
Stanford,FBS
Washington,FBS
Washington St.,FBS
Arizona,FBS
Arizona St.,FBS
Colorado,FBS
UCLA,FBS
USC,FBS
Utah,FBS
Appalachian St.,FBS
Arkansas St.,FBS
Georgia Southern,FBS
Georgia St.,FBS
Idaho,FBS
La Lafayet.,FBS
LA Monroe,FBS
N. Mex. St.,FBS
South Alabama,FBS
Texas St.,FBS
Troy,FBS
Florida,FBS
Georgia,FBS
Kentucky,FBS
Missouri,FBS
South Carolina,FBS
Tennessee,FBS
Vanderbilt,FBS
Alabama,FBS
Arkansas,FBS
Auburn,FBS
LSU,FBS
Mississippi,FBS
Mississippi St.,FBS
Texas A&M,FBS
Cal Poly,FCS
UC Davis,FCS
Eastern Wash.,FCS
Idaho St.,FCS
Montana,FCS
Montana St.,FCS
North Dakota,FCS
Northern Arizona,FCS
Northern Colorado,FCS
Portland St.,FCS
Sacramento St.,FCS
Southern Utah,FCS
Weber St.,FCS
Charleston Sou.,FCS
Coastal Car.,FCS
Gardner-Webb,FCS
Liberty,FCS
Monmouth,FCS
Presbyterian,FCS
Albany,FCS
Delaware,FCS
Elon,FCS
James Madison,FCS
Maine,FCS
New Hampshire,FCS
Rhode Island,FCS
Richmond,FCS
Stony Brook,FCS
Towson,FCS
Villanova,FCS
William & Mary,FCS
Charlotte,FCS
Brown,FCS
Columbia,FCS
Cornell,FCS
Dartmouth,FCS
Harvard,FCS
Pennsylvania,FCS
Princeton,FCS
Yale,FCS
Bethune-Cookman,FCS
Delaware St.,FCS
Florida A&M,FCS
Hampton,FCS
Howard,FCS
Morgan St.,FCS
Norfolk St.,FCS
N.C. A&T,FCS
N.C. Central,FCS
Savannah St.,FCS
S. Carolina St.,FCS
Illinois St.,FCS
Indiana St.,FCS
N. Dak. St.,FCS
Northern Iowa,FCS
Missouri St.,FCS
South Dakota,FCS
S. Dakota St.,FCS
Southern Ill.,FCS
Western Ill.,FCS
Youngstown St.,FCS
Bryant,FCS
Central Conn. St.,FCS
Duquesne,FCS
Robert Morris,FCS
Sacred Heart,FCS
St. Francis (PA),FCS
Wagner,FCS
Austin Peay,FCS
Eastern Illinois,FCS
E. Kentucky,FCS
Jacksonville St.,FCS
Murray St.,FCS
SE Missouri St.,FCS
Tennessee St.,FCS
Tennessee Tech,FCS
Tenn-Martin,FCS
Bucknell,FCS
Colgate,FCS
Fordham,FCS
Georgetown,FCS
Holy Cross,FCS
Lafayette,FCS
Lehigh,FCS
Butler,FCS
Campbell,FCS
Davidson,FCS
Dayton,FCS
Drake,FCS
Jacksonville,FCS
Marist,FCS
Morehead St.,FCS
San Diego,FCS
Stetson,FCS
Valparaiso,FCS
Chattanooga,FCS
Citadel,FCS
Furman,FCS
Mercer,FCS
Samford,FCS
Virginia Military,FCS
Western Carolina,FCS
Wofford,FCS
Abilene Christian,FCS
Central Arkansas,FCS
Houston Baptist,FCS
Incarnate Word,FCS
Lamar,FCS
McNeese St.,FCS
Nicholls,FCS
N'western St.,FCS
Sam Houston St.,FCS
SE Louisiana,FCS
S.F. Austin,FCS
Alabama A&M,FCS
Alabama St.,FCS
Alcorn St.,FCS
Jackson St.,FCS
Miss. Valley St.,FCS
AR Pine Bluff,FCS
Grambling St.,FCS
Prairie View A&M,FCS
Southern,FCS
Texas Southern,FCS
